Name,Country,Position,Age,Team_from,Team_to,League_from,Season,Window, Fee ( Euros Mn) , Transfer Rating 
Rio Ferdinand,England,CB,22,West Ham,Leeds,Premier League,2000-2001,Summer, 26.00 , 7.96 
Jimmy Floyd Hasselbaink,Netherlands,CF,28,Atlético Madrid,Chelsea,La Liga,2000-2001,Summer, 22.50 , 7.72 
Sergiy Rebrov,Ukraine,SS,26,Dynamo Kyiv,Spurs,Ukraine Premier League,2000-2001,Summer, 18.00 , 4.85 
Sylvain Wiltord,France,SS,26,G. Bordeaux,Arsenal,Ligue 1,2000-2001,Summer, 17.50 , 7.94 
Francis Jeffers,England,CF,20,Everton,Arsenal,Premier League,2001-2002,Summer, 15.30 , 5.02 
Juan Pablo Ángel,Columbia,CF,25,River Plate,Villa,Primeria Division,2000-2001,Winter, 14.40 , 7.55 
Ugo Ehiogu,England,CB,27,Villa,Middlesbrough,Premier League,2000-2001,Winter, 12.20 , 7.02 
Jesper Grönkjaer,Denmark,LW,23,AFC Ajax,Chelsea,Eredivisie,2000-2001,Winter, 11.85 , 6.41 
Fabien Barthez,France,GK,29,Monaco,United,Ligue 1,2000-2001,Summer, 11.70 , 6.33 
Laurén,Cameroon,RB,23,RCD Mallorca,Arsenal,La Liga,2000-2001,Summer, 10.70 , 7.37 
Olivier Dacourt,France,DM,25,Lens,Leeds,Ligue 1,2000-2001,Summer, 10.50 , 7.21 
Carl Cort,England,CF,22,MK Dons,Newcastle,Championship,2000-2001,Summer, 10.50 , 4.87 
Robert Pirès,France,LM,26,Marseille,Arsenal,Ligue 1,2000-2001,Summer, 9.80 , 8.07 
Craig Bellamy,Wales,LW,21,Norwich,Coventry,Championship,2000-2001,Summer, 9.25 , 6.22 
Mark Viduka,Australia,CF,24,Celtic,Leeds, SPL,2000-2001,Summer, 9.15 , 7.71 
Alpay Özalan,Turkey,CB,27,Fenerbahce,Villa,Super Lig,2000-2001,Summer, 9.00 , 7.08 
Christian Ziege,Germany,LM,28,Middlesbrough,Liverpool,Premier League,2000-2001,Summer, 9.00 , 5.78 
Nick Barmby,England,LM,26,Everton,Liverpool,Premier League,2000-2001,Summer, 9.00 , 5.22 
Christian Karembeu,France,DM,29,Real Madrid,Middlesbrough,La Liga,2000-2001,Summer, 8.75 , 5.37 
Mario Stanic,Croatia,RW,28,Parma,Chelsea,Serie A,2000-2001,Summer, 8.40 , 6.04 
Igor Biscan,Croatia,CB,22,Dinamo Zagreb,Liverpool, HNL,2000-2001,Summer, 8.25 , 6.77 
Ben Thatcher,England,LB,24,MK Dons,Spurs,Championship,2000-2001,Summer, 7.54 , 5.69 
Eidur Gudjohnsen,Iceland,CF,21,Bolton,Chelsea,Championship,2000-2001,Summer, 7.50 , 7.57 
Dominic Matteo,Scotland,LB,26,Liverpool,Leeds,Premier League,2000-2001,Summer, 7.13 , 7.62 
Hermann Hreidarsson,Iceland,CB,25,MK Dons,Ipswich,Championship,2000-2001,Summer, 6.75 , 6.44 
Émerson Thome,Brazil,CB,28,Chelsea,Sunderland,Premier League,2000-2001,Summer, 6.70 , 5.42 
Alex Nyarko,Ghana,CB,26,Lens,Everton,Ligue 1,2000-2001,Summer, 6.30 , 4.88 
Claus Jensen,Denmark,AM,23,Bolton,Charlton,Championship,2000-2001,Summer, 6.00 , 7.22 
Duncan Ferguson,Scotland,CF,28,Newcastle,Everton,Premier League,2000-2001,Summer, 5.40 , 7.27 
Christian Bassedas,Argentina,AM,27,Vélez Sarsfield,Newcastle,Primeria Division,2000-2001,Summer, 5.30 , 4.71 
Giorgi Kinkladze,Georgia,AM,27,AFC Ajax,Derby,Eredivisie,2000-2001,Summer, 5.00 , 5.13 
Julio Arca,Argentina,CM,19,Argentinos,Sunderland,Primeria Division,2000-2001,Summer, 4.70 , 7.02 
Richard Dunne,Ireland,CB,21,Everton,City,Premier League,2000-2001,Summer, 4.50 , 7.53 
Gary Rowett,England,RB,26,Birmingham,Leicester,Championship,2000-2001,Summer, 4.50 , 6.09 
David Thompson,England,RM,22,Liverpool,Coventry,Premier League,2000-2001,Summer, 4.50 , 7.35 
Alessandro Pistone,England,LB,24,Newcastle,Everton,Premier League,2000-2001,Summer, 4.50 , 5.29 
Joseph-Désiré Job,Cameroon,CF,22,Lens,Middlesbrough,Ligue 1,2000-2001,Summer, 4.50 , 6.55 
Radostin Kishishev,Bulgaria,DM,25,Litex Lovetch,Charlton, Bulgaria,2000-2001,Summer, 4.50 , 7.51 
Bernard Diomède,France,LW,26,AJ Auxerre,Liverpool,Ligue 1,2000-2001,Summer, 4.50 , 4.52 
Jonatan Johansson,Finland,CF,24,Rangers,Charlton, SPL,2000-2001,Summer, 4.30 , 5.77 
Rigobert Song,Cameroon,CB,24,Liverpool,West Ham,Premier League,2000-2001,Summer, 4.10 , 5.41 
Niclas Alexandersson,Sweden,RM,28,Sheff Wed,Everton,Championship,2000-2001,Summer, 3.80 , 4.92 
